Name,Info,Address,Category,Latitude,Longitude
Mankar Dosa Sinhgad Road,,"Cummins College Road,Hingane Bk.Karve Nagar",Dosa South Indian,18.487365,73.821389
Marzorin ,,M G Road ,Sandwitch,,
Mathura,,"J M Rd ,Opp. HP Petrol Pump ,Shivaji Nagar Pune",Kothimbir Wadi,18.51900563,73.8450985
Mee Maratha,,"Runawal Sankalp, Shop No. 9, Gananjay Society-2,
New D. P. Road,Kothrud",Snacks,18.50555338,73.82499809
Destination Center,,"Magarpatta City ,Hadapasar",Snacks,,
MOMOS,," Koregao park, lane 6",Momos,,
MOMOS,,"S.R.P.F Gym ,Wanwadi ,Near Kedari Petrol Pump",Momos,,
Nad Paan,"Tucked in a corner of the cozy Karvengar, is Naad, a paan shop complete with a variety of masala paans that blow your mind.
Make sure to have the Dual Chocolate Paan (White & Brown Chocolate), the ayurvedic Sangita Paan, and the unique Ice Paan to experience the innovation of the owner","Near Karve Putla,Karve Nagar",Paan,18.50225383,73.81567284
Nagesh ,,Sinhgad kondhwa,Wada Pav,,
Nandanwan Rasawanti,,"Jagatap Chowk ,Parmar Nagar, Wanwadi",Sugarcane Juice,8.493138009,73.89988935
Narayan Khaman Dokla,,"Maharaja Complex, Near Gadiya Estate Bhusari Colony, 
Kothrud Depot, Pune - 411038  ",Misc,18.50751387,73.79815615
Naturals,,"Near Karve Putla,Karve Nagar",Ice Cream,18.50232621,73.81573497
Naturals,,Pashan Road,Ice Cream,18.51418624,73.78248659
Navkar Pan,,Bajirao Road,Pan Shops,,
Old Waadeshwar Bhuvan,,"Bajirao road, Pune",South Indian ,,
Panipuri Bigbazar,,"Fatima Nagar near Big Bazar Mumbai Hwy, Wanowrie",Pani Puri,18.50690705,73.9019579
Pappu Pan,," Maharshi Nagar ,Bibwewadi ,Market Yard Road,",Pan Shops,18.48046647,73.8660808
Potoba,,"F C Rd, Opp. Petrol Pump Shivaji Nagar, Pune",Pan Shops,18.52684125,73.84192455
Pune Sweets,,Kothrud,Bakery,18.49163605,73.82121579
Purepure Kolhapur,,"Near Mehendale Garage,Perugate police station",Kolhapuri meal ,18.511999,73.848699
Radhika Bhel,,"Dyanprabhodani chowk,Sadashive Peth Tilak Rd.",Bhel,18.5127366,73.8453294
Rajma Chawal,,"BVP Back Market ,Katraj",Rajma Chawal,,
Rajusheth Misalwale,,Vishrantwadi,Misal,,
Ramakant Misal,,Tilak Road,Misal,,
Ramnath,,Tilak Road,Misal,,
Relax,,Singhgad Vadgoan MBA College,Pavbhaji and Pulav,,
Rohit Beverages,,"Dyanprabhodani chowk,Sadashive Peth Tilak Rd.",Cold Beverage,18.512283,73.845751
Roll Delight,,"Bharati Vidyapeeth, Katraj, Pune - 411046 ",Misc,,
Roll House ,,Mandar,Rolls,,
Roopali,,"Survey No 12/27, Fergusson College Road,
 Fergusson College Road, Pune - 411004",Dosa South Indian,18.529788,73.843017
Sabino Corner,,"Anand Vishal Society ,Fatima Nagar Mumbai Hwy, Wanowrie",Vada Pav,18.50545781,73.90236643
Shubham ,,"J M Rd,Opp to Sambhaji Garden , Shivaji Nagar, Pune", kothimbir wadi,18.52052581,73.84624484
Sai Pan,,"Hingne Budrukh, Karve Nagar Near Cummins college",Pan,18.487267,73.819462
Sarvoday,,"46/9 Sagar Park, Opposite Water Tank Near SAI Baba Mandir, 
Nagar Road, 
Vadgaon Sheri, Pune - 411014",Dosa South Indian,,
Shaukeen Paan ,,"Beside Samudra Hotel ,Opp. Padale Palace,Nal Stop ,Karve Road,kothrud",Paan,18.50821295,73.83147253
Shiv Kailas dairy,,Pune Station,Tea Stalls,,
Shri Misal,,Sadashiv Peth,Misal,,
Siddhivinayak,,"BVP Back market, Katraj",Vada Pav,,
"Sudama Bhel- 
Chandan Nagar",,"Kharadi Rd, Chandan Nagar, Wadgaon Sheri, Pune",Bhel N Chat,18.563761,73.931551
Sudama Bhel,,"Ishanya Mall ,Shastrinagar, Yerawada ,Pune",Bhel N Chat,18.559632,73.891575
Sujata,,Sadashiv Peth,Mastani,,
Sujata,,Karve Putala,Mastani,18.50189662,73.81582663
Sujata ,,"Maharshi Nagar,Bibwewadi Kondhawa Rd",Mastani,18.48062888,73.8652186
